Species	Status
Acanthopleuroceras?_sp._nov._2	extinct
Acanthopleuroceras_actaeon	extinct
Acanthopleuroceras_alisiense	extinct
Acanthopleuroceras_arietiforme	extinct
Acanthopleuroceras_carinatum	extinct
Acanthopleuroceras_maugenesti	extinct
Acanthopleuroceras_sp.1	extinct
Acanthopleuroceras_valdani	extinct
Aegoceras_artygyrus	extinct
Aegoceras_capricornus	extinct
Aegoceras_lataecosta	extinct
Aegoceras_maculatum	extinct
Aegoceras_sparsicosta	extinct
Aegolytoceras_varicosum	extinct
Apoderoceras_aculeatum	extinct
Audaxlytoceras_audax	extinct
Baltzerites_baltzeri	extinct
Beaniceras_centaurus	extinct
Beaniceras_crassum	extinct
Beaniceras_luridum	extinct
Beaniceras_rotondum	extinct
Becheiceras_bechei	extinct
Bettoniceras?_perisphinctoides	extinct
Bettoniceras_italicum	extinct
Bifericeras_donovani	extinct
Calaiceras_calais	extinct
Caleites_calensis	extinct
Calliphylloceras_bicicolae	extinct
Capreoliceras_asagensis	extinct
Castanayiceras_canavarii	extinct
Catriceras_catriense	extinct
Catriceras_cf._campiliense	extinct
Catriceras_galaczi	extinct
Coeloceras_pettos	extinct
Coeloceras_pettos_sensu_G	extinct
Coeloderoceras_biruga	extinct
Coeloderoceras_micromphala	extinct
Coeloderoceras_ponticum	extinct
Coeloderoceras_rugosa	extinct
Cymbites?_laevigatus_sensu_RG	extinct
Cymbites_globosus	extinct
Dayiceras_amaltheiforme	extinct
Dayiceras_dayiceroides	extinct
Dayiceras_nanum	extinct
Dayiceras_polymorphoides	extinct
Dayiceras_renzi	extinct
Dayiceras_splendens	extinct
Diaphorites_vetulonius	extinct
Dubariceras??_sp.	extinct
Dubariceras_dubari	extinct
Dubariceras_inaequicosta	extinct
Eoderoceras?_lina	extinct
Epideroceras?_cantianense	extinct
Epideroceras?_nodofissum	extinct
Epideroceras?_plumarius	extinct
Epideroceras?_trigonale	extinct
Eremiticeras_evolutus	extinct
Fieldingiceras_sp.	extinct
Foetterliceras_morogense	extinct
Foetterliceras_salmojraghii	extinct
Fuciniceras_angulosum	extinct
Fuciniceras_balatonense	extinct
Fuciniceras_carixiense	extinct
Fuciniceras_costicillatum	extinct
Fuciniceras_dilectum	extinct
Fuciniceras_elichense	extinct
Fuciniceras_formosum_sensu_RG	extinct
Fuciniceras_giennense	extinct
Fuciniceras_hungaricum	extinct
Fuciniceras_ionicum	extinct
Fuciniceras_lycius	extinct
Fuciniceras_mellahense	extinct
Fuciniceras_n._sp._A	extinct
Fuciniceras_nov._sp.1	extinct
Fuciniceras_perplicatum_sensu_GM	extinct
Fuciniceras_pseudodilectum	extinct
Fuciniceras_volubile	extinct
Furlites_involutus	extinct
Galaticeras?_rosenbergi	extinct
Galaticeras_aegoceroides	extinct
Galaticeras_harpoceroides	extinct
Galaticeras_marianii	extinct
Gemmellaroceras?_cortesi_sensu_B	extinct
Gemmellaroceras?_gemmellaroi	extinct
Gemmellaroceras?_gemmellaroi_sensu_M	extinct
Gemmellaroceras_aenigmaticum	extinct
Gemmellaroceras_circumcrispatum	extinct
Gemmellaroceras_granuliferum	extinct
Gorgheiceras_gorghense	extinct
Harpophylloceras_eximus	extinct
Holcolytoceras_nodostricum	extinct
Holcolytoceras_quadrijugum	extinct
Hyperderoceras_retusum	extinct
Jamesonites?_spoliatus	extinct
Jamesonites_reticulatus	extinct
Juraphyllites_libertus	extinct
Juraphyllites_nardii	extinct
Juraphyllites_sp._A	extinct
Leptonotoceras_sp.	extinct
Liparoceras_cheltiense	extinct
Liparoceras_heptangulare	extinct
Liparoceras_lytoceroides	extinct
Lytoceras_altum	extinct
Lytoceras_fimbriatoides	extinct
Lytoceras_fimbriatum	extinct
Lytoceras_fuggeri	extinct
Lytoceras_galatiforme	extinct
Lytoceras_kizilcius	extinct
Lytoceras_platypleura	extinct
Lytoceras_tortum	extinct
Metaderoceras?_pygmaeus	extinct
Metaderoceras_apertum	extinct
Metaderoceras_beirense	extinct
Metaderoceras_clavatus	extinct
Metaderoceras_gemmellaroi	extinct
Metaderoceras_muticum	extinct
Metaderoceras_muticum_sensu_MB	extinct
Metaderoceras_pseudomuticum	extinct
Metaderoceras_venarense	extinct
Miltoceras?_sp.	extinct
Miltoceras_furlense	extinct
Miltoceras_seguenzae	extinct
Miltoceras_sellae	extinct
Miltoceras_taguendoufi	extinct
Oistoceras_angulatus	extinct
Oistoceras_figulinum	extinct
Paraderoceras_picenum	extinct
Paramicroderoceras_aff._birchiades	extinct
Paramicroderoceras_birchoides	extinct
Paramicroderoceras_fila	extinct
Paramicroderoceras_tardecrescens	extinct
Paramorphites_acutiventris	extinct
Paratropidoceras_numidianum	extinct
Parinodiceras_parinodus	extinct
Partschiceras_striatocostatum	extinct
Pelingoceras_pseudocarinatum	extinct
Peripleuroceras_rotundicosta	extinct
Phricodoceras_bettonii	extinct
Phricodoceras_taylori	extinct
Phricodoceras_taylori_sensu_H	extinct
Phylloceras_hebertinum	extinct
Platypleuroceras_acanthobronni	extinct
Platypleuroceras_aff._oblongum	extinct
Platypleuroceras_amplinatrix	extinct
Platypleuroceras_aureum	extinct
Platypleuroceras_brevispina	extinct
platypleuroceras_caprarium	extinct
Platypleuroceras_muellensis	extinct
Platypleuroceras_nodosum	extinct
Polymorphites?_aff._bronni	extinct
Polymorphites?_apenninicus	extinct
Polymorphites?_bronni	extinct
Polymorphites?_flexicostatus	extinct
Polymorphites?_pseudodubari	extinct
Polymorphites_polymorphus	extinct
Polymorphites_rutilans	extinct
Prodactylioceras_aurigeriense	extinct
Prodactylioceras_davoei	extinct
Prodactylioceras_rectiradiatum	extinct
Pseudophricodoceras_caprariforme	extinct
Pseudophricodoceras_dayiforme	extinct
Pseudoskirroceras_mastodon	extinct
Radstockiceras_buvigneri	extinct
Radstockiceras_complanosum	extinct
Radstockiceras_pseudosaemanni	extinct
Radstockiceras_wiltshieri	extinct
Reynesocoeloceras_aegrum	extinct
Reynesocoeloceras_incertum	extinct
Reynesocoeloceras_indunense	extinct
Reynesocoeloceras_obesum	extinct
Reynesocoeloceras_praeincertum	extinct
Reynesocoeloceras_subcrassum	extinct
Sinuiceras_planulatum	extinct
Sinuiceras_sp._nov.	extinct
Sphaenoacanthites_costotuberculatum	extinct
Spiniclaviceras_spirale	extinct
Tetraspidoceras_evolutum	extinct
Tetraspidoceras_quadrarmatum	extinct
Tragophylloceras_carinatum	extinct
Tragophylloceras_ibex	extinct
Tragophylloceras_loscombi	extinct
Tragophylloceras_numismale	extinct
Tragophylloceras_undulatum	extinct
Tropidoceras_calliplocum	extinct
Tropidoceras_demonense	extinct
Tropidoceras_densicosta	extinct
Tropidoceras_erythraeum	extinct
Tropidoceras_flandrini	extinct
Tropidoceras_masseanum	extinct
Tropidoceras_mediterraneum	extinct
Tropidoceras_obtusum	extinct
Tropidoceras_orientale	extinct
Tropidoceras_semilaevis	extinct
Tropidoceras_stahli	extinct
Tropidoceras_stahliforme	extinct
Tropidoceras_sulcatus	extinct
Tropidoceras_zitteli	extinct
Tropidoceras_zitteli_sensu_AM	extinct
Uptonia?_juraphyllitoides	extinct
Uptonia?_sp._nov	extinct
Uptonia_confusa	extinct
Uptonia_jamesoni	extinct
Uptonia_lata	extinct
Vicininodiceras_gollingense	extinct
Vicininodiceras_simplicicosta	extinct
Villania_callomoni	extinct
Villania_densilobata	extinct
Zaghouanites_arcanum	extinct
Zamaiceras_carinatum	extinct
Zamaiceras_mangoldi	extinct
Zetoceras_iudicariense_sensu_GM	extinct
Zetoceras_zetes	extinct
