Recorded_taxa	Status	MinT	MaxT
Furlites_involutus	extinct	191.84	192.9
Gorgheiceras_gorghense	extinct	188.8	189.5
Villania_callomoni	extinct	191.84	192.9
Sinuiceras_sp._nov.	extinct	188.4	190.2
Cymbites?_laevigatus_sensu_RG	extinct	188.4	191.84
Leptonotoceras_sp.	extinct	191.84	192.9
Leptonotoceras_sp.	extinct	192.9	194.44
Tropidoceras_densicosta	extinct	188.8	190.54
Tropidoceras_densicosta	extinct	189.5	190.2
Tropidoceras_densicosta	extinct	190.2	190.54
Tropidoceras_densicosta	extinct	188.8	189.5
Tropidoceras_densicosta	extinct	190.2	190.54
Tropidoceras_semilaevis	extinct	189.5	190.54
Tropidoceras_semilaevis	extinct	189.5	190.54
Tropidoceras_semilaevis	extinct	189.5	190.54
Galaticeras_aegoceroides	extinct	188.24	192.9
Galaticeras_aegoceroides	extinct	189.5	190.54
Galaticeras?_rosenbergi	extinct	191.84	192.9
Galaticeras_harpoceroides	extinct	190.54	191.84
Galaticeras_harpoceroides	extinct	190.54	191.84
Galaticeras_aegoceroides	extinct	188.8	189.5
Galaticeras_harpoceroides	extinct	190.54	191.84
Galaticeras_aegoceroides	extinct	189.5	190.54
Galaticeras_aegoceroides	extinct	191.84	192.9
Galaticeras_aegoceroides	extinct	190.54	191.84
Galaticeras?_rosenbergi	extinct	191.84	192.9
Galaticeras_aegoceroides	extinct	188.24	192.9
Galaticeras_aegoceroides	extinct	188.4	190.54
Galaticeras_harpoceroides	extinct	190.54	191.84
Galaticeras_aegoceroides	extinct	188.24	192.9
Galaticeras_aegoceroides	extinct	188.4	189.5
Galaticeras_aegoceroides	extinct	188.24	188.8
Galaticeras_aegoceroides	extinct	188.8	189.5
Galaticeras_harpoceroides	extinct	190.2	191.84
Galaticeras_aegoceroides	extinct	191.84	192.9
Galaticeras_harpoceroides	extinct	190.54	191.84
Galaticeras_aegoceroides	extinct	190.2	191.84
Galaticeras_aegoceroides	extinct	188.4	190.2
Galaticeras_aegoceroides	extinct	192.9	194.44
Radstockiceras_wiltshieri	extinct	188.4	192.9
Radstockiceras_wiltshieri	extinct	188.4	192.9
Radstockiceras_buvigneri	extinct	190.2	192.9
Radstockiceras_wiltshieri	extinct	190.2	192.9
Radstockiceras_wiltshieri	extinct	190.78	191.84
Radstockiceras_wiltshieri	extinct	190.2	192.9
Radstockiceras_pseudosaemanni	extinct	188	188.4
Radstockiceras_wiltshieri	extinct	190.78	192.9
Radstockiceras_wiltshieri	extinct	191.84	192.9
