Species	Status
Acanthopleuroceras_actaeon	extinct
Aegolytoceras_varicosum	extinct
Apoderoceras_aculeatum	extinct
Audaxlytoceras_audax	extinct
Baltzerites_baltzeri	extinct
Bettoniceras_italicum	extinct
Calaiceras_calais	extinct
Calliphylloceras_bicicolae	extinct
Capreoliceras_asagensis	extinct
Castanayiceras_canavarii	extinct
Catriceras_cf._campiliense	extinct
Catriceras_galaczi	extinct
Coeloderoceras_micromphala	extinct
Coeloderoceras_rugosa	extinct
Cymbites?_laevigatus_sensu_RG	extinct
Cymbites_globosus	extinct
Dayiceras_amaltheiforme	extinct
Dayiceras_polymorphoides	extinct
Dayiceras_splendens	extinct
Diaphorites_vetulonius	extinct
Eoderoceras?_lina	extinct
Epideroceras?_cantianense	extinct
Epideroceras?_nodofissum	extinct
Epideroceras?_plumarius	extinct
Epideroceras?_trigonale	extinct
Foetterliceras_morogense	extinct
Foetterliceras_salmojraghii	extinct
Fuciniceras_angulosum	extinct
Fuciniceras_balatonense	extinct
Fuciniceras_costicillatum	extinct
Fuciniceras_elichense	extinct
Fuciniceras_hungaricum	extinct
Fuciniceras_n._sp._A	extinct
Fuciniceras_nov._sp.1	extinct
Fuciniceras_perplicatum_sensu_GM	extinct
Fuciniceras_pseudodilectum	extinct
Furlites_involutus	extinct
Galaticeras?_rosenbergi	extinct
Galaticeras_aegoceroides	extinct
Galaticeras_harpoceroides	extinct
Galaticeras_marianii	extinct
Gemmellaroceras?_cortesi_sensu_B	extinct
Gemmellaroceras?_gemmellaroi	extinct
Gemmellaroceras_aenigmaticum	extinct
Gemmellaroceras_circumcrispatum	extinct
Gemmellaroceras_granuliferum	extinct
Gorgheiceras_gorghense	extinct
Harpophylloceras_eximus	extinct
Holcolytoceras_nodostricum	extinct
Holcolytoceras_quadrijugum	extinct
Jamesonites?_spoliatus	extinct
Jamesonites_reticulatus	extinct
Juraphyllites_libertus	extinct
Juraphyllites_sp._A	extinct
Leptonotoceras_sp.	extinct
Liparoceras_lytoceroides	extinct
Lytoceras_altum	extinct
Lytoceras_fimbriatoides	extinct
Lytoceras_fimbriatum	extinct
Lytoceras_fuggeri	extinct
Lytoceras_galatiforme	extinct
Lytoceras_kizilcius	extinct
Lytoceras_platypleura	extinct
Lytoceras_tortum	extinct
Metaderoceras_muticum	extinct
Metaderoceras_muticum_sensu_MB	extinct
Metaderoceras_pseudomuticum	extinct
Miltoceras_furlense	extinct
Miltoceras_seguenzae	extinct
Paramicroderoceras_aff._birchiades	extinct
Paramicroderoceras_tardecrescens	extinct
Paratropidoceras_numidianum	extinct
Partschiceras_striatocostatum	extinct
Pelingoceras_pseudocarinatum	extinct
Peripleuroceras_rotundicosta	extinct
Phylloceras_hebertinum	extinct
Platypleuroceras_aff._oblongum	extinct
Platypleuroceras_amplinatrix	extinct
Platypleuroceras_brevispina	extinct
Polymorphites_rutilans	extinct
Prodactylioceras_davoei	extinct
Pseudophricodoceras_dayiforme	extinct
Radstockiceras_buvigneri	extinct
Radstockiceras_complanosum	extinct
Radstockiceras_pseudosaemanni	extinct
Radstockiceras_wiltshieri	extinct
Sinuiceras_planulatum	extinct
Sinuiceras_sp._nov.	extinct
Tragophylloceras_carinatum	extinct
Tragophylloceras_loscombi	extinct
Tragophylloceras_numismale	extinct
Tropidoceras_calliplocum	extinct
Tropidoceras_densicosta	extinct
Tropidoceras_erythraeum	extinct
Tropidoceras_flandrini	extinct
Tropidoceras_masseanum	extinct
Tropidoceras_obtusum	extinct
Tropidoceras_orientale	extinct
Tropidoceras_semilaevis	extinct
Tropidoceras_stahliforme	extinct
Tropidoceras_zitteli	extinct
Tropidoceras_zitteli_sensu_AM	extinct
Uptonia?_juraphyllitoides	extinct
Villania_callomoni	extinct
Villania_densilobata	extinct
Zetoceras_iudicariense_sensu_GM	extinct
Zetoceras_zetes	extinct
