Recorded_taxa	Status	MinT	MaxT
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Prodactylioceras_aurigeriense	extinct	188.21	188.24
Tropidoceras_sulcatus	extinct	188.4	190.2
Tropidoceras_sulcatus	extinct	188.4	190.2
Fieldingiceras_sp.	extinct	188.8	189.5
Fuciniceras_giennense	extinct	188.24	188.8
Paramicroderoceras_fila	extinct	190.78	192.9
Paramicroderoceras_fila	extinct	190.78	192.9
Paramicroderoceras_fila	extinct	190.78	192.9
Paramicroderoceras_fila	extinct	190.78	192.9
Paramicroderoceras_fila	extinct	190.78	192.9
Paramicroderoceras_fila	extinct	190.78	192.9
Parinodiceras_parinodus	extinct	191.84	192.9
Parinodiceras_parinodus	extinct	190.54	190.78
Parinodiceras_parinodus	extinct	190.54	191.84
Parinodiceras_parinodus	extinct	191.84	192.9
Parinodiceras_parinodus	extinct	190.54	190.78
Parinodiceras_parinodus	extinct	190.2	190.54
Parinodiceras_parinodus	extinct	190.54	191.84
Parinodiceras_parinodus	extinct	190.54	191.84
Parinodiceras_parinodus	extinct	191.84	192.9
Parinodiceras_parinodus	extinct	190.54	191.84
Parinodiceras_parinodus	extinct	190.54	190.78
Parinodiceras_parinodus	extinct	190.54	190.78
Parinodiceras_parinodus	extinct	190.2	190.54
Zamaiceras_carinatum	extinct	188.8	190.54
Dubariceras_inaequicosta	extinct	188.8	190.54
Dubariceras_inaequicosta	extinct	188.8	190.54
Dubariceras_inaequicosta	extinct	188.8	189.5
Dubariceras_inaequicosta	extinct	189.5	190.54
Dubariceras_inaequicosta	extinct	188.8	190.54
Phricodoceras_bettonii	extinct	188	188.4
Phricodoceras_bettonii	extinct	188.4	190.2
Phricodoceras_bettonii	extinct	188	188.4
Phricodoceras_bettonii	extinct	188	188.4
Phricodoceras_bettonii	extinct	188	188.4
Phricodoceras_bettonii	extinct	185.55	188
Bettoniceras?_perisphinctoides	extinct	188.4	189.5
Hyperderoceras_retusum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	190.78	191.84
Hyperderoceras_retusum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	191.84	192.9
Hyperderoceras_retusum	extinct	191.84	192.9
Tragophylloceras_undulatum	extinct	188.8	190.78
Tragophylloceras_undulatum	extinct	190.54	190.78
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	190.2	190.54
Tragophylloceras_undulatum	extinct	188.8	190.78
Tragophylloceras_undulatum	extinct	188.4	190.2
Tragophylloceras_undulatum	extinct	189.5	190.2
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	188.8	189.5
Tragophylloceras_undulatum	extinct	188.8	190.78
Tragophylloceras_undulatum	extinct	188.8	189.5
