Species	Status
Acanthopleuroceras?_sp._nov._2	extinct
Acanthopleuroceras_alisiense	extinct
Acanthopleuroceras_arietiforme	extinct
Acanthopleuroceras_carinatum	extinct
Acanthopleuroceras_maugenesti	extinct
Acanthopleuroceras_valdani	extinct
Aegoceras_artygyrus	extinct
Aegoceras_capricornus	extinct
Aegoceras_lataecosta	extinct
Aegoceras_maculatum	extinct
Aegoceras_sparsicosta	extinct
Beaniceras_centaurus	extinct
Beaniceras_crassum	extinct
Beaniceras_luridum	extinct
Beaniceras_rotondum	extinct
Becheiceras_bechei	extinct
Bettoniceras?_perisphinctoides	extinct
Bifericeras_donovani	extinct
Caleites_calensis	extinct
Catriceras_catriense	extinct
Coeloceras_pettos	extinct
Coeloceras_pettos_sensu_G	extinct
Coeloderoceras_biruga	extinct
Coeloderoceras_ponticum	extinct
Dayiceras_dayiceroides	extinct
Dayiceras_nanum	extinct
Dayiceras_renzi	extinct
Dubariceras??_sp.	extinct
Dubariceras_dubari	extinct
Dubariceras_inaequicosta	extinct
Eremiticeras_evolutus	extinct
Fieldingiceras_sp.	extinct
Fuciniceras_carixiense	extinct
Fuciniceras_dilectum	extinct
Fuciniceras_formosum_sensu_RG	extinct
Fuciniceras_giennense	extinct
Fuciniceras_ionicum	extinct
Fuciniceras_lycius	extinct
Fuciniceras_volubile	extinct
Gemmellaroceras?_gemmellaroi_sensu_M	extinct
Hyperderoceras_retusum	extinct
Juraphyllites_nardii	extinct
Liparoceras_cheltiense	extinct
Liparoceras_heptangulare	extinct
Metaderoceras?_pygmaeus	extinct
Metaderoceras_apertum	extinct
Metaderoceras_beirense	extinct
Metaderoceras_clavatus	extinct
Metaderoceras_gemmellaroi	extinct
Metaderoceras_venarense	extinct
Miltoceras?_sp.	extinct
Miltoceras_sellae	extinct
Miltoceras_taguendoufi	extinct
Oistoceras_angulatus	extinct
Oistoceras_figulinum	extinct
Paraderoceras_picenum	extinct
Paramicroderoceras_birchoides	extinct
Paramicroderoceras_fila	extinct
Paramorphites_acutiventris	extinct
Parinodiceras_parinodus	extinct
Phricodoceras_bettonii	extinct
Phricodoceras_taylori	extinct
Phricodoceras_taylori_sensu_H	extinct
Platypleuroceras_acanthobronni	extinct
Platypleuroceras_aureum	extinct
platypleuroceras_caprarium	extinct
Platypleuroceras_muellensis	extinct
Platypleuroceras_nodosum	extinct
Polymorphites?_aff._bronni	extinct
Polymorphites?_apenninicus	extinct
Polymorphites?_bronni	extinct
Polymorphites?_flexicostatus	extinct
Polymorphites?_pseudodubari	extinct
Polymorphites_polymorphus	extinct
Prodactylioceras_aurigeriense	extinct
Prodactylioceras_rectiradiatum	extinct
Pseudophricodoceras_caprariforme	extinct
Pseudoskirroceras_mastodon	extinct
Reynesocoeloceras_aegrum	extinct
Reynesocoeloceras_incertum	extinct
Reynesocoeloceras_indunense	extinct
Reynesocoeloceras_obesum	extinct
Reynesocoeloceras_praeincertum	extinct
Reynesocoeloceras_subcrassum	extinct
Sphaenoacanthites_costotuberculatum	extinct
Spiniclaviceras_spirale	extinct
Tetraspidoceras_evolutum	extinct
Tetraspidoceras_quadrarmatum	extinct
Tragophylloceras_ibex	extinct
Tragophylloceras_undulatum	extinct
Tropidoceras_demonense	extinct
Tropidoceras_mediterraneum	extinct
Tropidoceras_stahli	extinct
Tropidoceras_sulcatus	extinct
Uptonia?_sp._nov	extinct
Uptonia_confusa	extinct
Uptonia_jamesoni	extinct
Uptonia_lata	extinct
Vicininodiceras_gollingense	extinct
Vicininodiceras_simplicicosta	extinct
Zamaiceras_carinatum	extinct
Zamaiceras_mangoldi	extinct
