Species	Status
Abrytusites	extinct
Acanthoceras	extinct
Acanthohoplites	extinct
Acompsoceras	extinct
Aconeceras	extinct
Aioloceras	extinct
Alzadites	extinct
Ammonitoceras	extinct
Anadesmoceras	extinct
Anahoplites	extinct
Andiceras	extinct
Angolaites	extinct
Arcthoplites	extinct
Argentiniceras	extinct
Arrhaphoceras	extinct
Astiericeras	extinct
Astieridiscus	extinct
Astieriptychites	extinct
Austiniceras	extinct
Barremites	extinct
Barroisiceras	extinct
Bassites	extinct
Benavidesites	extinct
Benueites	extinct
Berriasella	extinct
Beudanticeras	extinct
Blanfordiceras	extinct
Bojarkia	extinct
Boliteceras	extinct
Borealites	extinct
Borissjakoceras	extinct
Brahmaites	extinct
Brancoceras	extinct
Breistrofferella	extinct
Buccinammonites	extinct
Buchiceras	extinct
Budaiceras	extinct
Callihoplites	extinct
Calycoceras	extinct
Canadoceras	extinct
Cantabrigites	extinct
Ceratotuberculus	extinct
Cheloniceras	extinct
Choffaticeras	extinct
Cleoniceras	extinct
Coahuilites	extinct
Coilopoceras	extinct
Collignoniceras	extinct
Colombiceras	extinct
Conlinoceras	extinct
Cophinoceras	extinct
Cunningtoniceras	extinct
Cuyaniceras	extinct
Cymahoplites	extinct
Cyrtosiceras	extinct
Damesites	extinct
Delawarella	extinct
Deshayesites	extinct
Desmoceras	extinct
Desmophyllites	extinct
Diadochoceras	extinct
Dichotomites	extinct
Dimorphoplites	extinct
Dipoloceras	extinct
Discohoplites	extinct
Distoloceras	extinct
Donenriquoceras	extinct
Douvilleiceras	extinct
Dufrenoyia	extinct
Dunveganoceras	extinct
Durnovarites	extinct
Engonoceras	extinct
Eodouvilleiceras	extinct
Eogaudryceras	extinct
Eogunnarites	extinct
Eomarshallites	extinct
Eopachydiscus	extinct
Eotetragonites	extinct
Eotissotia	extinct
Epicheloniceras	extinct
Epihoplites	extinct
Epileymeriella	extinct
Eubrancoceras	extinct
Eucalycoceras	extinct
Euhoplites	extinct
Euhystrichoceras	extinct
Euomphaloceras	extinct
Eupachydiscus	extinct
Euryptychites	extinct
Fagesia	extinct
Falloticeras	extinct
Favrella	extinct
Ficheuria	extinct
Flickia	extinct
Forbesiceras	extinct
Forresteria	extinct
Freboldiceras	extinct
Gargasiceras	extinct
Garniericeras	extinct
Gastroplites	extinct
Gaudryceras	extinct
Gauthiericeras	extinct
Gentoniceras	extinct
Goodhallites	extinct
Grantziceras	extinct
Groebericeras	extinct
Grycia	extinct
Gunnarites	extinct
Haploceras	extinct
Haresiceras	extinct
Harleites	extinct
Hauericeras	extinct
Hemihoplites	extinct
Hemisonneratia	extinct
Hemitissotia	extinct
Heterotissotia	extinct
Holcodiscoides	extinct
Holcodiscus	extinct
Holcoptychites	extinct
Hollisites	extinct
Homolsomites	extinct
Hoplites	extinct
Hoplitoides	extinct
Hypacanthoplites	extinct
Hyphoplites	extinct
Hysteroceras	extinct
Indoscaphites	extinct
Ingridella	extinct
Jacobites	extinct
Jauberticeras	extinct
Jeannoticeras	extinct
Jeanrogericeras	extinct
Julianites	extinct
Kachpurites	extinct
Kamerunoceras	extinct
Karakaschiceras	extinct
Kastanoceras	extinct
Kazanskyella	extinct
Kennicottia	extinct
Kilianella	extinct
Kilianiceras	extinct
Kitchinites	extinct
Knemiceras	extinct
Kossmatella	extinct
Kossmaticeras	extinct
Kuntziella	extinct
Lamnayella	extinct
Lecointriceras	extinct
Leconteites	extinct
Lemuroceras	extinct
Lenticeras	extinct
Leoniceras	extinct
Leopoldia	extinct
Lewesiceras	extinct
Leymeriella	extinct
Libycoceras	extinct
Lotzeites	extinct
Lyelliceras	extinct
Lyticoceras	extinct
Macroscaphites	extinct
Malbosiceras	extinct
Mammites	extinct
Mancosiceras	extinct
Mantelliceras	extinct
Mathoceras	extinct
Megatyloceras	extinct
Melchiorites	extinct
Menabites	extinct
Menjaites	extinct
Menuites	extinct
Mesopuzosia	extinct
Metahoplites	extinct
Metasigaloceras	extinct
Metatissotia	extinct
Metoicoceras	extinct
Mexicanoceras	extinct
Mhriliceras	extinct
Microdiphasoceras	extinct
Mikasaites	extinct
Mitonia	extinct
Miyakoceras	extinct
Moffitites	extinct
Moremanoceras	extinct
Moretella	extinct
Mortoniceras	extinct
Nannometoicoceras	extinct
Nebraskites	extinct
Neoastieria	extinct
Neocomites	extinct
Neocosmoceras	extinct
Neocraspedites	extinct
Neodeshayesites	extinct
Neogastroplites	extinct
Neograhamites	extinct
Neoharpoceras	extinct
Neohoploceras	extinct
Neokentroceras	extinct
Neoleymeriella	extinct
Neolobites	extinct
Neophlycticeras	extinct
Neoptychites	extinct
Neosaynoceras	extinct
Neosilesites	extinct
Newboldiceras	extinct
Nicklesia	extinct
Nigericeras	extinct
Nikitinoceras	extinct
Nolaniceras	extinct
Nowakites	extinct
Olcostephanus	extinct
Oosterella	extinct
Otohoplites	extinct
Oxytropidoceras	extinct
Pachydesmoceras	extinct
Pachydiscus	extinct
Pachygrycia	extinct
Paquiericeras	extinct
Parabrancoceras	extinct
Paracalycoceras	extinct
Paraconlinoceras	extinct
Paracrioceras	extinct
Parahoplites	extinct
Parajaubertella	extinct
Paramammites	extinct
Parancyloceras	extinct
Parapuzosia	extinct
Parasilesites	extinct
Paraspiticeras	extinct
Paratexanites	extinct
Parengonoceras	extinct
Penaceras	extinct
Peregrinoceras	extinct
Peroniceras	extinct
Placenticeras	extinct
Platylenticeras	extinct
Plesiacanthoceras	extinct
Plesiospitidiscus	extinct
Plesiotexanites	extinct
Pleurohoplites	extinct
Pleurotexanites	extinct
Polyptychites	extinct
Ponteixites	extinct
Primitiviptychites	extinct
Prionocycloceras	extinct
Procheloniceras	extinct
Prodeshayesites	extinct
Prodichotomites	extinct
Proeucalycoceras	extinct
Proleymeriella	extinct
Prolyelliceras	extinct
Proniceras	extinct
Propolyptychites	extinct
Protacanthoceras	extinct
Protacanthodiscus	extinct
Protexanites	extinct
Protissotia	extinct
Pseudargentiniceras	extinct
Pseudaspidoceras	extinct
