subgenus	Status	min_ma	max_ma
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Coahuilites	extinct	66	69.9
Desmophyllites	extinct	66	69.9
Desmophyllites	extinct	66	69.9
Desmophyllites	extinct	66	69.9
Desmophyllites	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Gaudryceras	extinct	66	69.9
Hauericeras	extinct	66	69.9
Hauericeras	extinct	66	69.9
Hauericeras	extinct	66	69.9
Indoscaphites	extinct	66	69.9
Indoscaphites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Kitchinites	extinct	66	69.9
Libycoceras	extinct	66	69.9
Libycoceras	extinct	66	69.9
Libycoceras	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Menuites	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
Pachydiscus	extinct	66	69.9
