Species	Status
Abrytusites	extinct
Acompsoceras	extinct
Aconeceras	extinct
Aioloceras	extinct
Ammonitoceras	extinct
Anadesmoceras	extinct
Anahoplites	extinct
Austiniceras	extinct
Barremites	extinct
Barroisiceras	extinct
Bassites	extinct
Beudanticeras	extinct
Boliteceras	extinct
Borealites	extinct
Borissjakoceras	extinct
Breistrofferella	extinct
Buccinammonites	extinct
Choffaticeras	extinct
Cleoniceras	extinct
Coahuilites	extinct
Coilopoceras	extinct
Cophinoceras	extinct
Cymahoplites	extinct
Damesites	extinct
Deshayesites	extinct
Desmoceras	extinct
Desmophyllites	extinct
Discohoplites	extinct
Donenriquoceras	extinct
Engonoceras	extinct
Eogaudryceras	extinct
Eogunnarites	extinct
Eomarshallites	extinct
Eopachydiscus	extinct
Eotetragonites	extinct
Eotissotia	extinct
Epileymeriella	extinct
Falloticeras	extinct
Favrella	extinct
Ficheuria	extinct
Flickia	extinct
Forbesiceras	extinct
Freboldiceras	extinct
Garniericeras	extinct
Gaudryceras	extinct
Goodhallites	extinct
Grantziceras	extinct
Groebericeras	extinct
Grycia	extinct
Haploceras	extinct
Haresiceras	extinct
Hauericeras	extinct
Hemitissotia	extinct
Heterotissotia	extinct
Homolsomites	extinct
Hoplitoides	extinct
Hyphoplites	extinct
Hysteroceras	extinct
Indoscaphites	extinct
Jacobites	extinct
Jauberticeras	extinct
Julianites	extinct
Kennicottia	extinct
Kitchinites	extinct
Kuntziella	extinct
Leconteites	extinct
Lemuroceras	extinct
Lenticeras	extinct
Leoniceras	extinct
Leopoldia	extinct
Lewesiceras	extinct
Libycoceras	extinct
Lyticoceras	extinct
Macroscaphites	extinct
Melchiorites	extinct
Menjaites	extinct
Menuites	extinct
Mesopuzosia	extinct
Metahoplites	extinct
Metatissotia	extinct
Mexicanoceras	extinct
Mhriliceras	extinct
Miyakoceras	extinct
Moffitites	extinct
Moremanoceras	extinct
Nebraskites	extinct
Neocraspedites	extinct
Neograhamites	extinct
Neoharpoceras	extinct
Neolobites	extinct
Neoptychites	extinct
Nigericeras	extinct
Nolaniceras	extinct
Nowakites	extinct
Oosterella	extinct
Pachydiscus	extinct
Paquiericeras	extinct
Parabrancoceras	extinct
Parajaubertella	extinct
Parasilesites	extinct
Parengonoceras	extinct
Peroniceras	extinct
Platylenticeras	extinct
Plesiospitidiscus	extinct
Ponteixites	extinct
Prionocycloceras	extinct
Prodeshayesites	extinct
Prodichotomites	extinct
Proniceras	extinct
Pseudobarroisiceras	extinct
Pseudokossmaticeras	extinct
Pseudophyllites	extinct
Pseudosaynella	extinct
Pseudoschloenbachia	extinct
Pseudothurmannia	extinct
Pseudotissotia	extinct
Pseudouhligella	extinct
Psilotissotia	extinct
Saghalinites	extinct
Saynella	extinct
Siberites	extinct
Spathites	extinct
Sphenodiscus	extinct
Spitidiscus	extinct
Stoliczkaia	extinct
Subpulchellia	extinct
Subsaynella	extinct
Substeueroceras	extinct
Tetragonites	extinct
Theganoceras	extinct
Thomasites	extinct
Tissotia	extinct
Tolypeceras	extinct
Tragodesmoceras	extinct
Trochleiceras	extinct
Uhligella	extinct
Umiaites	extinct
Umsinenoceras	extinct
Valanginites	extinct
Valdedorsella	extinct
Vascoceras	extinct
Wrightoceras	extinct
Yokoyamaoceras	extinct
Zelandites	extinct
Zuercherella	extinct
