Species	Status
Acanthoceras	extinct
Acanthohoplites	extinct
Alzadites	extinct
Andiceras	extinct
Angolaites	extinct
Arcthoplites	extinct
Argentiniceras	extinct
Arrhaphoceras	extinct
Astiericeras	extinct
Astieridiscus	extinct
Astieriptychites	extinct
Benavidesites	extinct
Benueites	extinct
Berriasella	extinct
Blanfordiceras	extinct
Bojarkia	extinct
Brahmaites	extinct
Brancoceras	extinct
Buchiceras	extinct
Budaiceras	extinct
Callihoplites	extinct
Calycoceras	extinct
Canadoceras	extinct
Cantabrigites	extinct
Ceratotuberculus	extinct
Cheloniceras	extinct
Collignoniceras	extinct
Colombiceras	extinct
Conlinoceras	extinct
Cunningtoniceras	extinct
Cuyaniceras	extinct
Cyrtosiceras	extinct
Delawarella	extinct
Diadochoceras	extinct
Dichotomites	extinct
Dimorphoplites	extinct
Dipoloceras	extinct
Distoloceras	extinct
Douvilleiceras	extinct
Dufrenoyia	extinct
Dunveganoceras	extinct
Durnovarites	extinct
Eodouvilleiceras	extinct
Epicheloniceras	extinct
Epihoplites	extinct
Eubrancoceras	extinct
Eucalycoceras	extinct
Euhoplites	extinct
Euhystrichoceras	extinct
Euomphaloceras	extinct
Eupachydiscus	extinct
Euryptychites	extinct
Fagesia	extinct
Forresteria	extinct
Gargasiceras	extinct
Gastroplites	extinct
Gauthiericeras	extinct
Gentoniceras	extinct
Gunnarites	extinct
Harleites	extinct
Hemihoplites	extinct
Hemisonneratia	extinct
Holcodiscoides	extinct
Holcodiscus	extinct
Holcoptychites	extinct
Hollisites	extinct
Hoplites	extinct
Hypacanthoplites	extinct
Ingridella	extinct
Jeannoticeras	extinct
Jeanrogericeras	extinct
Kachpurites	extinct
Kamerunoceras	extinct
Karakaschiceras	extinct
Kastanoceras	extinct
Kazanskyella	extinct
Kilianella	extinct
Kilianiceras	extinct
Knemiceras	extinct
Kossmatella	extinct
Kossmaticeras	extinct
Lamnayella	extinct
Lecointriceras	extinct
Leymeriella	extinct
Lotzeites	extinct
Lyelliceras	extinct
Malbosiceras	extinct
Mammites	extinct
Mancosiceras	extinct
Mantelliceras	extinct
Mathoceras	extinct
Megatyloceras	extinct
Menabites	extinct
Metasigaloceras	extinct
Metoicoceras	extinct
Microdiphasoceras	extinct
Mikasaites	extinct
Mitonia	extinct
Moretella	extinct
Mortoniceras	extinct
Nannometoicoceras	extinct
Neoastieria	extinct
Neocomites	extinct
Neocosmoceras	extinct
Neodeshayesites	extinct
Neogastroplites	extinct
Neohoploceras	extinct
Neokentroceras	extinct
Neoleymeriella	extinct
Neophlycticeras	extinct
Neosaynoceras	extinct
Neosilesites	extinct
Newboldiceras	extinct
Nicklesia	extinct
Nikitinoceras	extinct
Olcostephanus	extinct
Otohoplites	extinct
Oxytropidoceras	extinct
Pachydesmoceras	extinct
Pachygrycia	extinct
Paracalycoceras	extinct
Paraconlinoceras	extinct
Paracrioceras	extinct
Parahoplites	extinct
Paramammites	extinct
Parancyloceras	extinct
Parapuzosia	extinct
Paraspiticeras	extinct
Paratexanites	extinct
Penaceras	extinct
Peregrinoceras	extinct
Placenticeras	extinct
Plesiacanthoceras	extinct
Plesiotexanites	extinct
Pleurohoplites	extinct
Pleurotexanites	extinct
Polyptychites	extinct
Primitiviptychites	extinct
Procheloniceras	extinct
Proeucalycoceras	extinct
Proleymeriella	extinct
Prolyelliceras	extinct
Propolyptychites	extinct
Protacanthoceras	extinct
Protacanthodiscus	extinct
Protexanites	extinct
Protissotia	extinct
Pseudargentiniceras	extinct
Pseudaspidoceras	extinct
Pseudocalycoceras	extinct
Pseudofavrella	extinct
Pseudogargasiceras	extinct
Pseudohaploceras	extinct
Pseudoleymeriella	extinct
Pseudosilesites	extinct
Pseudosonneratia	extinct
Rhamphidoceras	extinct
Rhytidoceras	extinct
Riasanites	extinct
Roloboceras	extinct
Romaniceras	extinct
Rubroceras	extinct
Russanovia	extinct
Sakondryella	extinct
Salaziceras	extinct
Sarasinella	extinct
Saynoceras	extinct
Schloenbachia	extinct
Sharpeiceras	extinct
Shuparoceras	extinct
Siberiptychites	extinct
Silesites	extinct
Simbirskites	extinct
Sonneratia	extinct
Speetoniceras	extinct
Spiticeras	extinct
Subprionotropis	extinct
Sumitomoceras	extinct
Surites	extinct
Tarrantoceras	extinct
Tegoceras	extinct
Tetrahoplites	extinct
Texanites	extinct
Texasia	extinct
Thorsteinssonoceras	extinct
Tissotioides	extinct
Tollia	extinct
Turkmeniceras	extinct
Urakawites	extinct
Utaturiceras	extinct
Virgatoptychites	extinct
Walpenites	extinct
Watinoceras	extinct
Wellmanites	extinct
Yubariceras	extinct
